"","Type","Subpopulation","Indicator","Category","DiffEst.P","StdError.P","LCB95Pct.P","UCB95Pct.P","DiffEst.U","StdError.U","LCB95Pct.U","UCB95Pct.U","NResp_1","Estimate.P_1","StdError.P_1","LCB95Pct.P_1","UCB95Pct.P_1","Estimate.U_1","StdError.U_1","LCB95Pct.U_1","UCB95Pct.U_1","NResp_2","Estimate.P_2","StdError.P_2","LCB95Pct.P_2","UCB95Pct.P_2","Estimate.U_2","StdError.U_2","LCB95Pct.U_2","UCB95Pct.U_2"
"1","National","National","NCCA_SCI_Status","Good",-0.39967649791754,2.26970852228403,-4.84822345699786,4.04887046116278,-709.458848066319,774.504248720582,-2227.45928143191,808.541585299275,1297,82.8041281112621,1.12415018951816,80.6008342265926,85.0074219959315,19899.6237987751,425.496665457868,19065.6656589358,20733.5819386144,520,82.4044516133445,1.9717664992425,78.5398602889066,86.2690429377825,19190.1649507088,647.154864750679,17921.7647233776,20458.56517804
"2","National","National","NCCA_SCI_Status","Fair",-2.88379679772515,1.8470701755078,-6.50398781863852,0.736394223188224,-767.201079263617,441.252757545306,-1632.0405921314,97.6384336041667,265,12.8466677827346,0.997341322264066,10.8919147108035,14.8014208546657,3087.33225957962,236.180606334482,2624.42677731721,3550.23774184204,66,9.96287098500947,1.55466347488934,6.91578656614648,13.0099554038725,2320.13118031601,372.723378972681,1589.60678133348,3050.65557929854
"3","National","National","NCCA_SCI_Status","Poor",-0.964229738405195,0.280981986713943,-1.51494431266904,-0.413515164141354,-232.364304420389,67.5830307908219,-364.824610736462,-99.9039981043167,27,1.05007664738232,0.279126314251791,0.502999124311401,1.59715417045324,252.356141166169,67.1684454321014,120.708407221707,384.003875110632,3,0.0858469089771254,0.0322393788700248,0.0226588875079351,0.149034930446316,19.9918367457801,7.47435543093787,5.34236929349055,34.6413041980697
"4","National","National","NCCA_SCI_Status","Missing",4.24770303404786,1.45078863448941,1.40420956126858,7.09119650682714,964.637338888909,347.162405206621,284.21152789763,1645.06314988019,33,3.29912745862098,0.56761567532054,2.18662117793234,4.41163373930962,792.851718727744,135.86176577588,526.567550931002,1059.13588652449,36,7.54683049266884,1.33514048215686,4.93000323333995,10.1636577519977,1757.48905761665,319.473498414354,1131.33250670951,2383.6456085238
"5","NCCA_Region","Gulf","NCCA_SCI_Status","Good",12.4964325894809,2.99217682660036,6.6318737739688,18.3609914049929,457.283418418749,423.112364050339,-372.001576533516,1286.56841337101,352,79.6607385866374,2.14320572078605,75.4601325624366,83.8613446108383,8247.23570794743,239.841130886045,7777.15572939943,8717.31568649544,198,92.1571711761183,2.08801135055204,88.0647441297255,96.2495982225111,8704.51912636618,348.568938013085,8021.33656173116,9387.7016910012
"6","NCCA_Region","Gulf","NCCA_SCI_Status","Fair",-9.51172903622735,2.09264666397409,-13.6132411299845,-5.41021694247025,-1013.06456312544,212.726908612889,-1430.00164254925,-596.127483701638,26,12.631880417885,1.85362943598457,8.99883348267195,16.264927353098,1307.77214835387,191.766739798177,931.916244916782,1683.62805179096,8,3.12015138165765,0.971199245414353,1.21663583883304,5.02366692448225,294.70758522843,92.0774410763821,114.239116930112,475.176053526747
"7","NCCA_Region","Gulf","NCCA_SCI_Status","Missing",-2.39050927102934,2.2731539984457,-6.84580923929614,2.06479069723746,-290.353657244327,222.663125579326,-726.765364064925,146.058049576272,23,7.11318671325342,1.30441103544093,4.55658806275261,9.66978536375423,736.424598863578,134.687987181887,472.440994836888,1000.40820289027,7,4.72267744222408,1.8616500614427,1.0739103699796,8.37144451446856,446.070941619251,177.307680605344,98.554273450446,793.587609788057
"8","NCCA_Region","Gulf","NCCA_SCI_Status","Poor",NA,NA,NA,NA,NA,NA,NA,NA,2,0.594194282224147,0.38132942709747,0,1.34158622558048,61.5166315146267,39.4930912166327,0,138.921667937382,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","NCCA_Region","Northeast","NCCA_SCI_Status","Good",-0.783806785152777,3.69856309923581,-8.0328572542038,6.46524368389824,988.425829166624,346.997432728454,308.323358290994,1668.52830004225,456,76.9654186223166,1.73581560023964,73.5632825620441,80.367554682589,4491.4779485926,162.551742080125,4172.88238849131,4810.07350869389,143,76.1816118371638,3.2659322101038,69.780502329411,82.5827213449165,5479.90377775922,306.568343875969,4879.04086496223,6080.76669055621
"10","NCCA_Region","Northeast","NCCA_SCI_Status","Fair",-7.8210205736123,2.71793540206726,-13.1480760739705,-2.49396507325408,-301.334910411164,187.071789236572,-667.988879838313,65.3190590159851,181,19.2447355006352,1.6013587264204,16.1061300705223,22.3833409307481,1123.06678343119,92.8089719790603,941.164540910046,1304.96902595234,30,11.4237149270229,2.19609268454857,7.11945235859585,15.72797749545,821.731873020028,162.426441961777,503.38189663796,1140.0818494021
"11","NCCA_Region","Northeast","NCCA_SCI_Status","Poor",-2.59377279858594,0.860359757753464,-4.28004693753033,-0.907498659641542,-148.254391098859,50.8640657977017,-247.94612816963,-48.5626540280881,19,2.82291762944144,0.855041024463456,1.14706801618884,4.49876724269405,164.737261360821,50.403458242774,65.948298508715,263.526224212926,2,0.229144830855505,0.0955183712491131,0.0419322633453175,0.416357398365693,16.4828702619615,6.82968422709788,3.09693515106838,29.8688053728546
