"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","National","National","NCCA_SCI_Status","Good",798,78.6903044185224,1.43906447693582,75.8697898722972,81.5108189647476,27859.3033859058,727.627293248775,26433.1800969698,29285.4266748417
"2","National","National","NCCA_SCI_Status","Fair",166,10.4504296020549,1.12676978802635,8.24200139865541,12.6588578054543,3699.84194302046,411.678238294619,2892.96742274411,4506.71646329681
"3","National","National","NCCA_SCI_Status","Poor",5,0.139035049205079,0.0702235507817053,0.00139941880641667,0.276670679603741,49.223594262356,24.8452579105513,0.527783571066628,97.9194049536453
"4","National","National","NCCA_SCI_Status","Missing",135,10.7202309302176,1.01532198972093,8.73023639765307,12.7102254627822,3795.36167840272,371.181523011592,3067.85926157327,4522.86409523217
"5","National","National","NCCA_SCI_Status","Total",1104,100,0,100,100,35403.7306015913,721.947852978195,33988.738811038,36818.7223921446
"6","NCCA_Region","Great Lakes","NCCA_SCI_Status","Good",214,55.8472075785163,2.59709342769332,50.7569979957517,60.9374171612808,3730.57517648639,219.679858744822,3300.0105652177,4161.13978775509
"7","NCCA_Region","Great Lakes","NCCA_SCI_Status","Fair",98,18.0781829463884,1.92672393546719,14.3018734247214,21.8544924680553,1207.61670027921,137.166297117589,938.775698036018,1476.45770252241
"8","NCCA_Region","Great Lakes","NCCA_SCI_Status","Poor",2,0.43760330435579,0.354567525093682,0,1.13254288362691,29.2317574174673,23.6943197118164,0,75.6717706908048
"9","NCCA_Region","Great Lakes","NCCA_SCI_Status","Missing",91,25.6370061707396,2.36511405965498,21.0014677944865,30.2725445469927,1712.54361617861,171.479084655417,1376.45078615209,2048.63644620512
"10","NCCA_Region","Great Lakes","NCCA_SCI_Status","Total",405,100,0,100,100,6679.96725036168,249.806616255391,6190.3552794013,7169.57922132206
"11","NCCA_Region","Gulf","NCCA_SCI_Status","Good",223,92.620773467612,1.82976728014631,89.0344954984354,96.2070514367886,10464.5510398599,363.839523916638,9751.43867683105,11177.6634028887
"12","NCCA_Region","Gulf","NCCA_SCI_Status","Fair",9,3.00254787391875,0.914023196619098,1.21109532751114,4.79400042032635,339.236159447887,103.417780420069,136.54103446348,541.931284432294
"13","NCCA_Region","Gulf","NCCA_SCI_Status","Missing",8,4.37667865846927,1.61650376445416,1.2083894992657,7.54496781767284,494.48925432082,184.073648000415,133.711533737104,855.266974904537
"14","NCCA_Region","Gulf","NCCA_SCI_Status","Total",240,100,0,100,100,11298.2764536286,331.42823698132,10648.6890456856,11947.8638615716
"15","NCCA_Region","Northeast","NCCA_SCI_Status","Good",180,80.2745356904474,2.47441722364742,75.4247670493729,85.124304331522,8599.85716185178,386.404607075996,7842.51804852248,9357.19627518108
"16","NCCA_Region","Northeast","NCCA_SCI_Status","Fair",31,8.77145043355941,1.71879270075091,5.4026786431973,12.1402222239215,939.690528036904,189.417237430564,568.439564621926,1310.94149145188
"17","NCCA_Region","Northeast","NCCA_SCI_Status","Poor",2,0.153857760682477,0.0640133410613782,0.0283939176720965,0.279321603692857,16.4828703614555,6.82968898061585,3.09692593383832,29.8688147890726
"18","NCCA_Region","Northeast","NCCA_SCI_Status","Missing",25,10.8001561153107,1.98117799215559,6.91711860372233,14.683193626899,1157.02693411436,219.275570635781,727.254712978756,1586.79915524995
"19","NCCA_Region","Northeast","NCCA_SCI_Status","Total",238,100,0,100,100,10713.0574943645,385.740858939311,9957.0193034779,11469.0956852511
"20","NCCA_Region","Southeast","NCCA_SCI_Status","Good",72,77.1629745434223,6.62922378416322,64.1699346810061,90.1560144058386,3499.11151945759,421.918140579259,2672.16715949814,4326.05587941705
"21","NCCA_Region","Southeast","NCCA_SCI_Status","Fair",13,22.3957593292059,6.62255796081749,9.41578424047459,35.3757344179372,1015.5811115307,319.37241212874,389.62268610269,1641.53953695872
"22","NCCA_Region","Southeast","NCCA_SCI_Status","Poor",1,0.0773802978068129,0.0679579688061659,0,0.210575469129394,3.5089664834332,3.03698618177162,0,9.46135002125138
"23","NCCA_Region","Southeast","NCCA_SCI_Status","Missing",1,0.363885829564957,0.311136615699274,0,0.973702390607214,16.5011406770174,14.0370185671534,0,44.0131915189581
"24","NCCA_Region","Southeast","NCCA_SCI_Status","Total",87,100,0,100,100,4534.70273814875,406.705544497185,3737.57451862151,5331.83095767598
"25","NCCA_Region","West","NCCA_SCI_Status","Good",109,71.8735052172872,6.51046901079203,59.1132204336707,84.6337900009037,1565.20848825015,145.544904942063,1279.94571643041,1850.4712600699
"26","NCCA_Region","West","NCCA_SCI_Status","Fair",15,9.0790752988176,2.65045334113968,3.88428220747997,14.2738683901552,197.717443725753,55.5271429385379,88.8862434018112,306.548644049695
"27","NCCA_Region","West","NCCA_SCI_Status","Missing",10,19.0474194838952,6.42691461710914,6.4508983026472,31.6439406651431,414.800733111919,161.99846613169,97.289573943075,732.311892280763
"28","NCCA_Region","West","NCCA_SCI_Status","Total",134,100,0,100,100,2177.72666508783,183.594214092805,1817.88861769599,2537.56471247966
"29","Great_Lake","Lake Erie","NCCA_SCI_Status","Good",18,31.9221202687012,5.75871356451861,20.6352490849624,43.2089914524399,329.292142852906,62.2786881821421,207.228157011507,451.356128694305
"30","Great_Lake","Lake Erie","NCCA_SCI_Status","Fair",28,43.9828831966254,5.98352969592446,32.2553804921875,55.7103859010632,453.704758166276,66.5996192280817,323.171903095154,584.237613237397
