"","Type","Subpopulation","Indicator","Category","DiffEst.P","StdError.P","LCB95Pct.P","UCB95Pct.P","DiffEst.U","StdError.U","LCB95Pct.U","UCB95Pct.U","NResp_1","Estimate.P_1","StdError.P_1","LCB95Pct.P_1","UCB95Pct.P_1","Estimate.U_1","StdError.U_1","LCB95Pct.U_1","UCB95Pct.U_1","NResp_2","Estimate.P_2","StdError.P_2","LCB95Pct.P_2","UCB95Pct.P_2","Estimate.U_2","StdError.U_2","LCB95Pct.U_2","UCB95Pct.U_2"
"1","National","National","Water_Quality_Index","Good",-1.59600464253407,2.41813271145726,-6.33545766682849,3.14344838176034,-1246.92647741029,703.918114717421,-2626.58063032177,132.727675501192,364,29.532205113257,1.48791650059876,26.6159423600805,32.4484678664334,8793.64423563276,466.74899869613,7878.83300836821,9708.45546289731,238,27.9362004707229,1.90616638766546,24.2001830023578,31.672217939088,7546.71775822247,526.921326616686,6513.9709353677,8579.46458107724
"2","National","National","Water_Quality_Index","Fair",4.88472648830395,2.80246954178443,-0.608012881364005,10.3774658579719,-103.597319196822,931.680987172467,-1929.65849913558,1722.46386074194,717,51.5201970853725,1.76173959317278,48.0672509326156,54.9731432381294,15340.8891202329,558.720381099004,14245.8172958503,16435.9609446154,322,56.4049235736765,2.17947450971028,52.1332320294212,60.6766151179317,15237.2918010361,745.560861099378,13776.0193649986,16698.5642370735
"3","National","National","Water_Quality_Index","Poor",1.95454992359017,1.65537823698516,-1.28993180169216,5.1990316488725,197.219488489055,471.935480304398,-727.757055934177,1122.19603291229,170,11.9748076922842,1.17648142603791,9.66894646876954,14.2806689157988,3565.67341423467,352.095509942405,2875.57889562929,4255.76793284005,105,13.9293576158743,1.16454650472702,11.6468884082874,16.2118268234613,3762.89290272373,314.248069920152,3146.97800346901,4378.80780197845
"4","National","National","Water_Quality_Index","Missing",-5.24327176936005,1.04141584802942,-7.28440932442696,-3.20213421429315,-1609.03571968823,299.473268064675,-2195.9925394275,-1022.07889994895,107,6.97279010908637,0.810674374713173,5.38389753145902,8.56168268671372,2076.24981994723,240.73647428999,1604.4150005737,2548.08463932077,9,1.72951833972632,0.653723203435708,0.448244405134178,3.01079227431845,467.214100259007,178.129694974649,118.08631353159,816.341886986424
"5","NCCA_Region","Gulf","Water_Quality_Index","Good",-7.94637660550851,3.29121994167902,-14.3970491563994,-1.49570405461761,-1116.0127469162,381.433557026924,-1863.60878118398,-368.416712648425,71,24.0937223698295,2.49960227686933,19.1945919314913,28.9928528081677,2894.36509301019,304.366006631221,2297.81868189471,3490.91150412566,49,16.147345764321,2.14105515154919,11.9509547783706,20.3437367502713,1778.35234609398,229.897569438164,1327.76138986189,2228.94330232608
"6","NCCA_Region","Gulf","Water_Quality_Index","Fair",4.30172345844204,4.32201290580189,-4.16926617764697,12.772713094531,-58.5523703980989,555.33761600714,-1146.99409703243,1029.88935623623,171,53.2492564396825,3.09689659164279,47.1794506562178,59.3190622231472,6396.80273151814,373.757569752023,5664.25135585496,7129.35410718132,121,57.5509798981245,3.01480132987057,51.6420778710348,63.4598819252143,6338.25036112004,410.737320930976,5533.22000498886,7143.28071725122
"7","NCCA_Region","Gulf","Water_Quality_Index","Poor",9.63483625466906,3.10867087929777,3.54195329145697,15.7277192178812,917.984754389361,366.710026428258,199.246309820245,1636.72319895848,35,14.3174932378711,2.20029684003529,10.0049906761046,18.6299957996375,1719.95227682192,264.69294458378,1201.16363847586,2238.74091516799,61,23.9523294925402,2.19602560356766,19.6481984004197,28.2564605846606,2637.93703121128,253.798913651302,2140.50030113934,3135.37376128323
"8","NCCA_Region","Gulf","Water_Quality_Index","Missing",-5.9901831076026,1.99197440760697,-9.89438120463778,-2.08598501056742,-743.082807057251,235.99195451394,-1205.61853854579,-280.547075568714,24,8.33952795261696,1.75937890191549,4.89120866970297,11.787847235531,1001.82272492949,212.451862717966,585.424725553832,1418.22072430515,5,2.34934484501436,0.934102735279044,0.51853712600708,4.18015256402163,258.739917872241,102.74438487322,57.3646239070089,460.115211837474
"9","NCCA_Region","Northeast","Water_Quality_Index","Good",-0.230107528512207,4.15882654104529,-8.38125776691026,7.92104270988585,-240.398003929869,402.564866065737,-1029.41064285991,548.614635000166,212,37.2341866605629,2.16310997921478,32.9945690067028,41.4738043144231,3698.15583451496,220.760382914644,3265.47343478899,4130.83823424094,82,37.0040791320507,3.55201258673504,30.0422623894171,43.9658958746844,3457.75783058509,336.635299286787,2797.96476805813,4117.55089311206
"10","NCCA_Region","Northeast","Water_Quality_Index","Fair",5.07625912579456,4.48228748988873,-3.7088629227418,13.8613811743309,175.464182960705,525.564553457053,-854.623413365995,1205.55177928741,294,50.8385245157997,2.39562649789687,46.143182859512,55.5338661720874,5049.35928291321,279.43534061641,4501.67607929737,5597.04248652906,108,55.9147836415943,3.78838683671393,48.4896818821294,63.3398854010592,5224.82346587392,445.122444126448,4352.39950667564,6097.2474250722
"11","NCCA_Region","Northeast","Water_Quality_Index","Poor",-1.40046073657096,1.89621867238189,-5.11698104125183,2.3160595681099,-179.921927047181,182.008226752923,-536.651496372909,176.807642278548,79,8.34496174910117,1.18096691804706,6.03030912279568,10.6596143754067,828.834244791748,118.218542051898,597.130160065194,1060.5383295183,27,6.94450101253021,1.48356408421348,4.03676883871463,9.85223318634578,648.912317744568,138.388478280769,377.675884438956,920.148751050179
