"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","National","National","Water_Quality_Index","Good",435,36.3651378052767,1.60816462770903,33.2131930537557,39.5170825567976,12874.6154214776,599.296989904403,11700.0149052217,14049.2159377335
"2","National","National","Water_Quality_Index","Fair",444,47.8105496119809,1.78942902917099,44.3033331619153,51.3177660620465,16926.7181837659,768.94510218247,15419.6134773998,18433.822890132
"3","National","National","Water_Quality_Index","Poor",211,14.3645923148676,0.966753437733245,12.4697903949801,16.259394234755,5085.60156517261,341.281689077602,4416.70174599751,5754.5013843477
"4","National","National","Water_Quality_Index","Missing",14,1.45972026787486,0.514692071855332,0.450942343910105,2.46849819183961,516.795431175241,183.51402898314,157.114543710448,876.476318640035
"5","National","National","Water_Quality_Index","Total",1104,100,0,100,100,35403.7306015913,721.947852978196,33988.738811038,36818.7223921446
"6","NCCA_Region","Great Lakes","Water_Quality_Index","Good",179,59.7024589351043,2.62807911434144,54.5515185224732,64.8533993477355,3988.1047045256,253.649819881272,3490.96019287323,4485.24921617796
"7","NCCA_Region","Great Lakes","Water_Quality_Index","Fair",118,22.2234066767221,2.37028318423856,17.5777370024536,26.8690763509906,1484.51628791973,162.613113051783,1165.80044292429,1803.23213291516
"8","NCCA_Region","Great Lakes","Water_Quality_Index","Poor",104,17.9712553062917,1.80213531191526,14.4391349996699,21.5033756129135,1200.47396893917,120.589710695217,964.122479070442,1436.8254588079
"9","NCCA_Region","Great Lakes","Water_Quality_Index","Missing",4,0.102879081881925,0.0443075089878529,0.016037960021049,0.189720203742802,6.8722889771854,2.92516433696787,1.13907222786739,12.6055057265034
"10","NCCA_Region","Great Lakes","Water_Quality_Index","Total",405,100,0,100,100,6679.96725036168,249.80661625539,6190.3552794013,7169.57922132206
"11","NCCA_Region","Gulf","Water_Quality_Index","Good",49,15.7940607853332,2.09252660036098,11.6927840119337,19.8953375587328,1784.45665078109,230.738378335045,1332.21773939322,2236.69556216895
"12","NCCA_Region","Gulf","Water_Quality_Index","Fair",123,57.5391990370403,2.97445845173371,51.7093675981315,63.3690304759492,6500.9377764084,416.438689913121,5684.73294240964,7317.14261040716
"13","NCCA_Region","Gulf","Water_Quality_Index","Poor",63,24.422649718114,2.20675749298702,20.0974845092455,28.7478149269824,2759.33848245386,259.915535718845,2249.91339342249,3268.76357148522
"14","NCCA_Region","Gulf","Water_Quality_Index","Missing",5,2.24409045951247,0.915386242048089,0.449966393154751,4.03821452587019,253.543543985222,103.363222582495,50.9553503975351,456.13173757291
"15","NCCA_Region","Gulf","Water_Quality_Index","Total",240,100,0,100,100,11298.2764536286,331.42823698132,10648.6890456856,11947.8638615716
"16","NCCA_Region","Northeast","Water_Quality_Index","Good",99,44.2500933200304,3.26804797557937,37.8448369881458,50.655349651915,4740.5379386848,360.2825520715,4034.39711236648,5446.67876500311
"17","NCCA_Region","Northeast","Water_Quality_Index","Fair",110,49.1289818961002,3.44941590413223,42.3682509563014,55.889712835899,5263.21607692514,449.756939036516,4381.70867461659,6144.72347923369
"18","NCCA_Region","Northeast","Water_Quality_Index","Poor",27,6.06492788922346,1.29419003045726,3.52836204037644,8.60149373807048,649.739211764256,138.533422210631,378.218693576338,921.259729952174
"19","NCCA_Region","Northeast","Water_Quality_Index","Missing",2,0.555996894645968,0.385235014355667,0,1.31104364836684,59.5642669903037,41.2169034085758,0,140.347913225378
"20","NCCA_Region","Northeast","Water_Quality_Index","Total",238,100,0,100,100,10713.0574943645,385.740858939311,9957.0193034779,11469.0956852511
"21","NCCA_Region","Southeast","Water_Quality_Index","Good",12,21.3824651258982,6.3422432146712,8.95189684394909,33.8130334078473,969.631231547806,304.402130508515,373.014018933855,1566.24844416176
"22","NCCA_Region","Southeast","Water_Quality_Index","Fair",61,68.8047765827915,6.54398805095269,55.9787956876638,81.6307574779192,3120.09208767698,425.954528534414,2285.23655269779,3954.94762265617
"23","NCCA_Region","Southeast","Water_Quality_Index","Poor",13,9.44887246174536,2.73054175902094,4.09710895578167,14.8006359677091,428.47827824695,117.454615234104,198.271462570096,658.685093923804
"24","NCCA_Region","Southeast","Water_Quality_Index","Missing",1,0.363885829564957,0.311136615699274,0,0.973702390607214,16.5011406770174,14.0370185671534,0,44.0131915189581
"25","NCCA_Region","Southeast","Water_Quality_Index","Total",87,100,0,100,100,4534.70273814875,406.705544497185,3737.57451862151,5331.83095767599
"26","NCCA_Region","West","Water_Quality_Index","Good",96,63.9145820387961,5.66929994382621,52.8029583313418,75.0262057462504,1391.8848959383,137.782391229121,1121.83637142541,1661.93342045118
"27","NCCA_Region","West","Water_Quality_Index","Fair",32,25.6210278259665,4.48022129995854,16.8399554352785,34.4021002166544,557.955954835644,88.237470807661,385.013689965724,730.898219705564
"28","NCCA_Region","West","Water_Quality_Index","Poor",4,2.18446256506916,1.19115662873041,0,4.51908665732691,47.5716237683727,25.6197623037282,0,97.7854351761568
"29","NCCA_Region","West","Water_Quality_Index","Missing",2,8.27992757016825,6.18805301513012,0,20.4082886142478,180.314190545512,145.220575258827,0,464.941287867002
"30","NCCA_Region","West","Water_Quality_Index","Total",134,100,0,100,100,2177.72666508783,183.594214092805,1817.88861769599,2537.56471247966
"31","Great_Lake","Lake Erie","Water_Quality_Index","Good",5,16.0804133412152,4.11739438064139,8.01046864501046,24.1503580374199,165.877257604375,48.4930805284215,70.8325662692688,260.921948939482
